osm_key,osm_value,shared_label
office,it,Other Professional
office,lawyer,Legal Service
office,logistics,Other Professional
office,newspaper,Other Professional
office,ngo,Community Center
office,notary,Legal Service
office,political_party,Community Center
office,property_management,Real Estate
office,religion,Place of Worship
office,research,Other Professional
office,security,Other Professional
office,tax_advisor,Other Professional
office,telecommunication,Other Professional
craft,brewery,Bar
craft,builder,Home Service
craft,carpenter,Home Service
craft,caterer,Bakery
craft,cleaning,Home Service
craft,confectionery,Bakery
craft,dressmaker,Clothing Store
craft,electrician,Home Service
craft,electronics_repair,Specialty Store
craft,gardener,Home Service
craft,glaziery,Home Service
craft,grinding_mill,Specialty Store
craft,handicraft,Specialty Store
craft,hvac,Home Service
craft,joiner,Home Service
craft,key_cutter,Home Service
craft,metal_construction,Home Service
craft,painter,Home Service
craft,photographer,Specialty Store
craft,plumber,Home Service
craft,roofer,Home Service
craft,sawmill,Specialty Store
craft,shoemaker,Specialty Store
craft,stonemason,Home Service
craft,tailor,Clothing Store
craft,upholsterer,Home Service
craft,window_construction,Home Service
craft,winery,Bar
landuse,cemetery,Cemetery
landuse,religious,Place of Worship
amenity,*,Other Amenity
healthcare,*,Other Healthcare
shop,*,Other Shop
leisure,*,Recreation
tourism,*,Other Amenity
office,*,Other Professional
historic,*,Museum
